interpreter scholar;artist
hrpuff dropoff;rip off
publico publicly;openly
shiraki shirk;shrieky
amazonic amazons;amazing
cranny niche;fissure
stubbornly firmly;resolutely
tickled pleasing;exhilarated
autopopathism 
theaterbeing theater;throbbing
hendrickson 
voletta valet;volute
hearn hear;earn
linen cloth;bedding
tomassi tomes;tams
brannagh's brans;brains
amargo embargo;amiga
schlater salter;shelter
impregnations intake;digestion
blonsky blink;blank
shelly shall;shill
disconnectedly haphazardly;fitfully
nera era;nerd
cohan cowhand;can
mommy's mommy;mummers
evitar evote;aviate
zekeria skerry;siberia
bustiness lustiness;mustiness
slumdog slimebag;small dog
bourn function;desire
savalas's savannas;savannahs
aurora dawn;eos
subvert pervert;debase
penikett panicked;persnickety
futurescape free scope;future
christi christs;chorister
vicious savage;monstrous
hardboiled hard-nosed;callous
holder buyer;partner
katharyn gat horn;the run
andreeff wander off;antre
sex'l sex;sexy
anders unders;ander
derick dreck;doric
timbuktu tumbled;dumb act
psychoanalyzes psycho analyzers;psycho-analyzers
hardiman head man;head-man
disabled handicapped;wounded
freida fred;freed
horowitz harrowed;how it is
chote chute;choater
affective emotional;feeling
vinny ninny;tinny
penry penny;plenary
ehm gem;wham
versatilidade vastitude;ventilated
ikwydls idylls;idles
johnny's johns;johnny
lumley lumpy;lumber
shipment load;cargo
nadie nada;node
denim pants;jeans
softspot soft-spot;raw
facotory factor;factors
cymbalist symbolism;humblest
issuetainment ascertainment;attainment
emasculates vitiate;debilitate
noying noting;joying
lookouts sentry;outlook
somnambulistic 
gaea Gaia;Ge
ranked rated;graded
twiddling fidget;fool
dazs da's;dais
instigations incitement;urging
collapsed topple;founder
housekeeper servant;caretaker
lykis likes;lurks
unengaged easygoing;free and easy
assink is sunk;sink
kajal kabala;cajole
herendous hereabouts;trends
âconservative conceived of;portray
'curry carry;gurry
inners in news;inner
'stage' stag;stagger
butcherer butchered;butcher
bolivians blains;liveins
unwraps unroll;untie
'models' modules;model
jackies gob;sailor
elsewhere somewhere;away
sibrel sabre;sibyl
lbs bls;bs
detroit's detroit;droits
christophe christ;christs
agena ageing;agin
harvey's have say;heavers
binomial binal;minimal
nation`s notions;nation
garter badge;ribbon
4definitely de finitely;de-finitely
zonked dazed;dumbfounded
gyver gave;give
affleck's flacks;afflict
sunn's signs;sinus
'charlie charily;churl
magnesium magnum;magnums
''d 13s;25s
athinodoros in odorous;in-odorous
housewife lady of the house;homemaker
croyter crater;crofter
thrust upshot;gist
4ward wad;wart
alone only;unattended
evil's evulse;evil
carfare carafe;carefree
doctornappy2 doctors up;doctoring up
stillâ stilly;stellar
xine xing;dine
christsakes 
bluhn blown;blunt
'marigold' mangled;made cold
crow's grows;crowds
gloating crow;rejoice
bluish cerulean;azureous
brin brine;bring
bushman's brahmans;bushmen
advoga advocate;advice
phonus phony;onus
recognises re cognizes;re-cognizes
zwartboek wast back;wert back
aheadthe aheads;ahead of
reconsideration review;second thought
brahms brahman;brans
kantor's cantor;grantors
myabe mayor;mtb
equivalencing equivalency;alikeness
stringy fibrous;gangling
mcdonnell maidenly;octennial
woking waking;viking
perk fringe benefit;advantage
hautement had meet;determent
expands bolster;widen
promo pitch;buildup
halen haling;haled
richar rich;ruche
indirect ambiguous;tortuous
peau peak;peal
'fackin' fucking;facing
moralize edify;sermonize
ita it;its
subcultural 
sitcom fun;humor
hotdogging arrogant;brash
conspiratorial clandestine;covert
generalisation generalizations;generalizing
judders tremor;reverberation
dinklage inklike;disklike
soapish snappish;spanish
geoprge garage;courage
papua papula;pap
squires attend;chaperon
kishor josher;gusher
konchalovsky's 
gundam007 gendarme;condom
lehman lawman;layman
filmframe flimflammer;flim flam
hammond's humanoids;harmonics
josephs josephite;jesus
simper sneer;smirk
simplify facilitate;reduce
mistook misread;misinterpret
getyour get due;get over
middle' muddle;muddler
incorporated integrated;joined
doll's dulls;drolls
eiji ie;eo
outtakes slogan;clip
fatherless fathomless;fatherly
witheringly witherings;weathering
fetus embryo;blastosphere
dismissals freeing;layoff
`big biog;bog
'meaningless' meanings;making less
knarled knurled;nailed
illuminated bright;lit up
steeps arduous;precipitous
bickering' bickerings;nickering
sheepskin warranty;license
masti maest;master
weasels double-crosser;fink
dulaine dueling;dualize
dale's dailies;duals
conviviality gaiety;merriment
apt's apt;aits
cant' canter;cantor
ain`t in to;ant
wittering wintering;bittering
vashti washout;shit
impairment deterioration;ruination
flinching blanch;balk
jost's just as;just so
belch emit;gush
professing feign;pretend
poundingly poundings;poundinged
farnsworth's 
foliã©s foils;follies
joslyn's slyness;isolines
'divine diviner;die vine
satisfied fulfilled;convinced
robitussen robots;robotize
'deeds' deads;seeds
gemlike go like;godlike
licence science;licensed
kirbyesque go byes;go-byes
beeman be mean;be-mean
claret juice;clot
figure's figured;figure
splitter splatter;splinter
quited quotaed;quilted
weepiness deepness;wimpiness
pornographe pornographic;phonograph
misogynist misanthrope;male chauvinist
juggle shuffle;alter
minuites mounties;minutest
claw' clay;claws
guy boy;buddy
enforcer soldier;guerrilla
entered recorded;listed
`jump' jumpy;jumper
coprophagy provoke;soporific
desade decide;teased
muldar mild;mould
vallã©e's values;vallest
'librarian' libertarian;egalitarian
caótico calico;geotic
belding's bleedings;buildings
barabra bribery;barratry
0ies lies;pies
der deer;doer
'friday frat;fried
farrah farrago;fare
marjoke marker;marked
chessman's chasings;chersonese
codger eccentric;fellow
boswell ohs well;does well
aucunement accruement;atonement
unliving un loving;un-loving
trice moment;outburst
hedren's held reins;terrenes
idiomas idiom;idiots
facilitator coordinator;designer
marissa maria;mares
boston's boston;bon tons
vilifies revile;decry
hide' hid;hides
eugen equine;eugenic
victims' victim;victimize
extermly external;externally
wearers hearers;warmers
`lawrence clearance;latency
similarly alike;furthermore
fractal rectal;frontal
stabilizing preserve;secure
afghan blanket;throw
rudderless riddles;rudders
unlucky miserable;hapless
gmail email;grail
buildups enlargement;growth
mutable erratic;fickle
bueller`s birlers;bullies
lerner's learner;lens
punctuating interrupt;intersperse
sensible wise;down-to-earth
pendulum' pendulums;alarm
mm' m o;mam
pleiades plaids;pleaded
nurtures feed;discipline
boman bemean;roman
'volunteer' volunteers;suggest
impressions impact;reaction
'iran' iring;irony
surender sur render;sur-render
impecable impeccably;impeachable
ashed ashes;arched
elas els;alas
belief faith;confidence
moltres metres;milts
wranglers herdsman;rancher
musican musical;music
vestuario vestry;estuary
schiavo's shivs;chivies
shareholders investor;bondholder
piqued annoy;ignite
superadventure super;sensational
brother` brothers;broth
balaban blab;blain
melanie melange;mealing
falta fault;falter
'strength' strengthy;strengths
maris marys;maires
venusian venin;version
irony twist;paradox
crossbows machine gun;pistol
extent breadth;term
bartha bath;bathe
hayes' hades;hales
dispositioned bent;tendency
`it ait;bit
clothing' clothings;clotting
reedited evaluate;study
sarte's sautes;starters
oldâfashioned old fashioneds;old-fashioneds
provocatuers provocateur;provocative
superamerica supreme ruler;ruler
spiret spirit;sprite
gedren green;guerdon
walters' wailers;wales
intendend in tended;in-tended
goombaesque go beserk;come rescue
climbs scale;top
drawls extend;chant
brinke's blinkers;brink
hisinvestigation 
lanscaping 
mm2 m o;mam
petrovich patriarch;petrified
ojhoyn ohing;ohohing
afirmar affirms;afire
physically substantially;actually
sleeker polished;glistening
paperhanger pretender;plagiarist
antagonistas antagonistic;antagonizers
directer direct;directed
dotrice's matrices;outraces
eminem's enemas;eminence
hua hus;hue
laughablebut life belt;lifeblood
grouping organization;categorization
softie fool;turkey
bumped knock;crash
kore ore;core
wwiii weigh;wow
suneel sanely;snarl
elegies threnody;knell
softhearted benevolent;big-hearted
conglomeration mishmash;aggregation
haff huff;chaff
alok a ok;a-ok
rjt ret;rot
ismir amir;is air
fakeness fairness;flakiness
`humor' hum;rumor
achronological chrono logical;chrono-logical
likelihood prospect;trend
doorstop doorsteps;shortstop
majyo mayor;kayo
laughless leafless;laughters
rehabbed repair;overhaul
lavud livid;loved
smailes smiles;samiels
fruition materialization;completion
borden bidden;border
dester tester;desert
yara's harass;years
desperated desiderated;desperately
lushest abundant;dense
bitter sour;harsh
thison this;bison
incessantly regularly;constantly
jetsons jetsets;jettison
extremity's extremity;extremists
shar shard;share
mainlined vaccinate;shoot
'buy buoy;by
partaken feed;sip
gasket stopper;packing
fahrt frat;fret
plummier pleasant;mellow
réputation reputations;repudiation
foresay foreday;fores
scuddamore's 
push assault;advance
understories thicket;coppice
cehovian hiving;heaving
kareena korean;arena
louisianan loosening;lesion
gitano got on;guano
discontinuous alternate;desultory
streamlining consolidate;integrate
muska musks;muzak
lui lei;lug
wan't want to;wand
schmoeller's schmooses;schmoozes
loldominique 
fertilise fertiles;fertilizer
'let's lots;lutes
henderson's endorsings;hangers ons
toxo todo;toxic
retaliation retribution;revenge
service's cervices;serviced
66' .25;180
comédias co medians;co-medians
argentinean igniting;continue on
lazareno lazaru;lazarus
gigli giggle;giggler
'protã©e' prate;pirate
sicheritz schitzy;spritz
mitchum chum;match
ruel rue;reel
icons portrait;symbol
creakiness craziness;crackings
shop's shoos;chips
streamwood streamlet;stream
howl moan;growl
argentos argent;agendas
proddings paradings;producings
laced mix;strap
lampedusan limpidness;am up to ears in
scientists' scientist;sonnetists
bro's browse;bras
philippe flipper;fillip
'humanity' humanoid;humanly
chloã cola;shoal
arsã©ne arcane;esne
`believe' believer;be lieve
flinthead faintheart;faint heart
basu base;bass
preadolescents preadolescence;pre adolescences
gusling gusting;giling
azzara aura;lazaru
malachai malaria;mulch
abundantly handsomely;richly
duró euro;furor
borest breast;barrest
biographies profile;autobiography
chassidim chased;chastise
aeroplanes jet;aircraft
prudish puritanical;prissy
bahire hire;bemire
prediction guess;indicator
holywoodised hollow words;hollowed out
hawke hawk;hawked
capted capped;catted
klapisch kelpies;kelps
rã¶hm ream;roam
baroquely barely;brusquely
redsox restocks;had sex
choppier rough;uneven
bebop bop;swing
seminar forum;discussion
gunslinger pariah;mobster
vinícius vinous;minacious
'pretentious pretentiou;pretentiously
carsick cask;crick
wilberforce volte face;volte-face
tarrantino treating;ranting
nem nei;new
puked spew;hurl
indulgence' indigence;indolence
ferociously murderously;berserk
haaga's hajs;hazas
cbc blood work;complete blood count
never' nevers;nerve
af2a af;afs
bosarian barbarian;boss man
gallaghers villagers;flaggers
songsajay snogs;songster
proviene proving;province
cremator heater;stove
couched utter;put
llewellyn welling;level line
eliminate wipe out;knock out
godâyes' go ats;go-ats
visibile visibly;risible
pritchard preached;potched
fatuated faulted;situated
moonchild's manifolds;moonlighters
'conceit' conceity;concert
hogwallow hogwash;hole wall
hymer homer;hammer
terrivelmente revilement;revealment
'caaaant -carat;canaan
drunkard souse;bacchanal
3'o 25s;33s
misuse harm;maltreatment
embarrasing embarrassings;embracing
writing print;handwriting
marriott's carrots;garottes
acoona icon;agony
immigrant's immigrant;alien
detailing portray;reveal
brynes brans;brings
'sylvia' silva;sylvan
llevada lead;levied
houseman's housemates;horseman
straightedge yardstick;rule
yall all;yawl
flooze floes;foozle
curtin cutin;courting
misik music;mask
repeating imitating;ceaseless
sheree'sfather 
sparklingly merrily;splendidly
natella natal;patellae
modigliani modelling;middling
fábula fibulae;fable
pseudopsychopath 
dinged knock;pound
thaught taught;haughty
implosions breakdown;loss
amiability geniality;amenity
methamphetamine 
jankel ankle;jangly
'team tam;teem
accomodates accommodated;accommodate
adell addle;atoll
wrinkled rumpled;unironed
althea lather;aloha
thorpe hope;there
announcing disclose;reveal
edgehill educable;alcohol
necron crone;crony
sleuthing examine;discover
278 .25;180
expectation's expectation;expectorations
hootin' hitting;hating
laurence's lancers;durances
2hours h hours;h-hours
franciscus 
mieze mice;mise
racecar raceway;races
antibody antibiotic;medicine
silage fodder;forage
definitaly de finitely;de-finitely
rapidez rapid;rapidly
weezing weeding;weeping
piffle hogwash;silliness
tlk2 tlc;ilk
evaluation interpretation;calculation
benis beanies;bennies
gerry's gurries;jerries
murtough made tough;make tough
destacar discard;daystar
kabaddi kabala;tabard
escrito escort;escritoire
ngo go;no
booring bring;booing
icegun inguen;icon
loy lot;lay
shubert sheet;shirt
matthu myth;matty
ertegun out gun;out-gun
caaaaaaaaaaaaaaaaaaaaaaligulaaaaaaaaaaaaaaaaaaaaaaa calculi;canicula
scriptwriting secret writing;sacred writing
janes jeans;jakes
farmed meadow;lawn
ingeniously ably;handily
memorablescenes memorable;great
caveman's caveins;cavemen
meance manse;means
orders' order;borders
'crap' crappy;crip
unprovokedly un provoked;un-provoked
bikumatre budgetary;back matter
rascally delicate;devilish
dammed clog;obstruct
pornichet punched;punished
victis victim;vectors
intriguingly untiringly;unoriginal
decent's de-scents;decent
catcher's catch22's;cashers
bling blain;bailing
kurdish goodish;kudos
nutters lunatic;madman
camilla camel;mammilla
berel barrel;barely
tobikage truckage;toboggan
appauling appealing;appareling
meteoric dazzling;ephemeral
wideescreen wears crown;dis crown
flakes leaf;plate
haynes hones;hens
stuntwoman adventurer;madcap
shrinkage diminution;reduction
bryne bran;briny
sorcha search;gotcha
sontarans suntans;strains
johnathan's contains;co nations
produziu producer;prodigiou
dito's d.t.s;d.t.'s
recall's re-calls;recall
viewed notice;consider
sucht such;sucher
humor playfulness;farce
presuppositions inference;hunch
abel babel;label
'tried tired;trued
straight short;straightforward
purified absolve;atone
refrain melody;theme
patreecia patrician;patrias
archetype paradigm;form
reorganizing reconstruct;revamp
eyeliner eyelet;eyeing
tchecky check;cheeky
strap leash;harness
dichotomy difference of opinion;disunion
giulia's coulis;gills
huddled conference;confab
grosse grouse;grasser
bankers broker;manager
abominationâit's 
referências reference;reverential
pressberger pre sager;pre-sager
665 .25;180
trelkovski's 
respuestas resists;re spects
ferramenta ferrymen;frumenty
`agent argent;urgent
moonshiner drink;alcohol
egon eon;ebon
'demons' daemons;demense
kibitz urge;charge
adap asap;dap
plater platter;plate
skimmer's skimmer;scammers
acroyd acarid;across
'weepies' weenies;weepings
revival resurgence;recovery
slapchop slipshod;slipup
heimlich demolish;hiemal
pointed sharp;barbed
homemade handmade;homegrown
elisha elvish;delish
odors stink;whiff
hitchs hootches;hi techs
olokliri alkali;old glory
nonpleaser nonplussed;nonplused
poles leg;rod
tratar trader;trait
garia aria;maria
venezuela's ensuals;vessels
'are bare;care
akyroyd acarid;agorot
unamazing amazing;un amusing
gouald could;guild
supremely specially;exclusively
aidan addon;asian
period term;span
backchat cheek;comeback
chorus ensemble;glee club
ji jib;jig
gurdjieff's git goes;decafs
'know now;knew
'saga sag;sage
wei we;wee
believer devotee;adherent
brazilians broilings;brazens
'rock rick;rocky
illuminates flash;highlight
bakula facula;macula
llevar leave;larvae
arachnophobes 
sprinklings scattering;smattering
tiny's tings;tineas
murkwood mum word;marked
kumble bumble;fumble
recites declaim;repeat
harrell carrel;hear tell
ameliorative curative;beneficial
steamiest gaseous;steaming
persists persevere;go on
tennant pennant;tenants
ingênua inguen;inguina
bianchi's benches;blanches
friends colleague;acquaintance
gobsmackingly 
televise transmit;beam
legal fair;constitutional
hairpieces rug;hairpiece
helvard helve;held
duchamp decamp;damp
goodly ample;big
revelries festivity;debauchery
teeniest diminutive;microscopic
seaworld swirled;swearword
speak convey;deliver
carrott carrots;garrote
litmus lits;limes
loan credit;investment
nary nar;nay
kodak camcorder;Polaroid
instrument gear;apparatus
ruxton rest on;rigatoni
'signifiant' signified;skinflint
marchers radical;revolutionary
'larger lager;large
rychard chard;orchard
eavesdrops snoop;spy
sjunde sunder;skinned
tulkinhorn's 
gauging guess;calculate
houseabhishek 
mccabe maybe;mecca
'edna eden;dna
headin' headon;heating
winky's winkey;wink
chancesally chances;chancellor
'tashed trashed;bashed
vd's v's;vdus
murmurs rumble;buzz
wongo wonk;nogo
splits rift;fissure
ebbed degenerate;slacken
automotive automatic;automate
laz lazy;lax
finishers squabble;clash
sharks' shakos;shark
believability plausibility;credibility
miu mid;min
citta' ceta;cite
reluisante recusant;relucent
sigfried stir fried;stir-fried
misawa misses;midway
tainment atonement;attainment
threatening dangerous;sinister
historian's historian;professor
tank's tunks;dankes
yourtime yurt;by time
seafaring maritime;nautical
yargh year;yaw
feng's fungus;venges
nick knock;cut
bureacratic bureaucrat;administrator
vindication revenge;exoneration
claire's clarets;colures
disharmoniously dis harmonious;dis-harmonious
soundman son man;bondman
infalliby in fallibly;in-fallibly
'sos sis;soso
coombes combers;combos
veloso velours;valise
inequalities diversity;discrimination
contextualising 
socioty societe;sooty
resurfaces re surfaced;re-surfaced
andalusia and all;indicia
retreating reverse;depart
'che' chew;cheer
bookshop bishop;bookish
schoolroom school;solarium
ejecución excon;ex con
reasonn reasons;reasoning
porcasi orcas;porks
rolaids roulades;plaids
subgenre signore;subguns
phd's phds;ph.d.
oriental byzantine;Korean
minutae minutiae;minutes
goldbergh golden;golddig
'80 .25;180
counterbalanced outweigh;counteract
helium holm;velum
youngsters boy;chick
recentemente rescindment;presentment
honra horns;hones
garrick hayrick;barrack
moneyshot one shot;one-shot
certainties confidence;trust
nailgun nagging;nigging
lange lunge;lane
nippers lad;boy
chandni hand in;handing
associated join;correlate
lanc lan;lank
jobanother jawbone;jawboned
waltz' waltzed;welts
linger drift;idle
incapabable in capable;in-capable
firehouse warehouse;fleahouse
viscounti viscounts;discount
prickly complicated;knotty
preachment sermon;rebuke
'choke' choker;chocker
moviethat move ahead;moved
charleton charlatan;chalet
snobbism snobbish;snubbest
campbell's campaniles;compilers
'bullshit' bullest;buckshot
characteristics style;essence
pinnacles apex;culmination
pouches pocket;bag
philosophists philosopher stone;cure-all
tethers cord;rope
'growth' froth;grow
jorda's codas;judas
licker 
balfe baffle;baled
mylan lan;man
'suspense' be suspense;is suspense
synthpop snap up;xanthippes
apparently ostensibly;probably
'waxing' waxings;vexing
homeowners owner;landlord
blomkamp 
entymology ontology;atomology
'legitimate' legitimated;legitimates
gasbag blowhard;boaster
imaging visualize;develop
stunning sensational;great
mcnuggets connects;magentas
risked prospect;peril
indri's introes;undress
'precious precis;previous
shepherd herdsman;watcher
'lethal legal;lethe
incompassionate un compassionate;un-compassionate
unsentimentally un sentimental;un-sentimental
dirtbag degenerate;deviant
fatima datum;fathom
indulgence privilege;extravagance
sitings citings;sortings
motta mortar;moat
peaker acute;critical
revenge' re venge;re-venge
impersonal abstract;indifferent
ducky's ducky;dukes
cloudless azure;bright
photochemical 
father dad;predecessor
rita's rotas;riots
roles' riles;rales
bologna's bologna;cold cuts
underworld' under world;under-world
viewingyea viewing;wowing
'sensitive' sensitive to;sensitively
'ewwww i.e;ewer
leeshock lets hook;let hook
inman's un mans;un-mans
actionscenes auctioneerings;action
zzzzz's zizz;zizzes
commenter's commented;comminates
eod eos;rod
patinkin patinaing;prinking
scrimping cut back;skimp
stocks established;set
wendigos windings;went dogs
vigalondo vigilant;vigilante
servants' servant;savantes
jã¤regã¥rd are guard;re gard
sternbergâs setbacks;set backs
screwee scree;screw
whitishness wittiness;ruttishness
dockstader dog star;digested
nineriders nereids;minarets
unhelped enveloped;unhallowed
munsell unseal;moselle
standing existing;repeated
akkaya's akitas;ayahs
yared's freds;carets
slips lapse;blunder
detonation discharge;bang
knoxville hicksville;non civil
ver verb;vert
francophone frankfurter;fire engine
considerations deliberation;discussion
reunited rejoin;join
depicting portray;represent
shamefull shameful;heinous
ribsi rebus;rib
kikabidze kibitz;kibbutz
scosese's successes;successors
aetv ate;eat
pacifista pacifistic;pacifism
vereen serene;veered
uw uk;um
littlehammer little game;little while
zip vigor;sparkle
puzzle mystify;disturb
degovia's devoirs;devious
indoors' in doors;in-doors
saggy bent;drooping
diwana dewans;divan
yella yellow;yell at
anatomist 
cooties pest;vermin
schertler settler;scuttle
surpreendentes super-intends;superintend
hopes prospect;desire
wolfe's wiles;wolf
purchaser customer;patron
valantines valiantness;valentine
stick's stickser;stick
backslapping pleasant;genial
achille chill;chilly
icarly early;scaly
saikano skean;soaking
enviable desirable;privileged
macfarlene make even;marveling
brambell brambly;brambled
yips growl;roar
pit' pity;pith
reflexes development;reaction
pedicab poetical;poetic
farnsworth faces with;falls with
gesture—especially 
violenta violet;violently
mckenzie' micronize;mechanize
deadly savage;destructive
expressionism expansionism;expression
doyon dying;day one
umbria umbrae;imbrue
zaphoidps photo ops;stoups
winston winest;winds in
wangahanky 
minimum minimal;littlest
scorei scorer;scoria
exordium prologue;preamble
documentarian documentary;documenting
guillou gully;gill
bs'er busier;bicer
bluffâ» bluffer;buff
mobguy morgue;bogy
seiryuu serum;serous
aspects' aspect;suspects
ethno ethnic;eton
toshiba tshirt;t shirt
entrada quest;trek
'cerebral' cerebra;head
prioritization 
oliver' liver;alive
edwood's hardwoods;eat words
deeds' deads;seeds
ambitiousness desire;goal
seagalology eaglelike;soliloquy
mcgavin misgiven;megaphone
guyz guys;gauzy
moresco fresco;more ago
passe outdated;obsolete
'commando' command;commandos
goopy fluffy;lush
hardass' harass;hard use
condos sanctuary;dwelling
mutant freak;deviation
shropshire chirapsias;beating
alligator allocate;all got
what'd what if;what is
waltari waltz;waylaid
silvermen salesmen;solemn
banditti raider;mobster
dictatorialâ» dextral;decontrol
upn pun;up
namorada enamored;nomad
percolating filter;permeate
seated placed;settled
cobras rattle;snake
mockumentary momentary;commentary
outfield outvied;outfitted
earthlink earthlike;earthen
penalties discipline;forfeiture
yunfei infer;unfair
logorrheic logorrheas;like rock
irland island;land
mazursky's muzaks;masques
incinerator heater;pyre
urging insistence;driving
embittered rancorous;disaffected
strickler truckler;stickle
wabi wain;waif
rattner ranter;retainer
debunking disparage;puncture
itt mitt;its
ambiciosa ambiguous;amices
ignoremos ignorings;ignore
boldface font;case
gamera gamer;games
repel withstand;confront
'thrill thrall;athrill
unstrung upset;nervous
'friends' fronds;far ends
synth sent;sync
vitagraph autography;ideograph
autopsy postmortem;dissection
amaldiçoada am located;male dict
'greased' grease;egressed
hada haha;haza
unhinge fluster;unbalance
filmâ´s flams;flames
drugs pharmaceutical;prescription
hajime hajis;game
takia's took as;takers
murer mire;murder
manilow's manila;manis
mannara manners;manner
âmighty amity;mighty
guardian's guardian;gardens
shipiro shipper;shire
msinabottle most orbital;most badly
throughtake through;throttle
boyish childish;adolescent
baisse base;bass
cheap low-cost;reasonable
nitro nitery;notary
parisium peridium;purism
clacks prate;cackle
szhen sizing;sizzing
punker unpleasant;unlucky
ascoyne as one;ascot
ashore aground;beached
plo ploy;polo
yakov yaks;yakky
ticker explosive;rocket
machaty chatty;machs
fapp's flaps;gaps
rosenfield snuffled;rising fall
risa ria;rise
dogkiller dojigger;dog collars
pushers peddler;source
2000s' $.25s;10 4s
kamp amp;camp
qualify enable;score
jl l;ja
compare correlate;study
mckenzies menses;cognizes
hastening urge;step up
qi's q&as;iqs
daggy draggy;saggy
aquarian agrarian;aquarius
και .25;180
hasn`t hast to;hast at
'wasted' vested;waste
'ashanti' shanty;a shot
quotidian commonplace;daily
myagi magic;mag
earth's ethos;earthy
fines punishment;reparation
clicks snap;beat
detonate explode;blast
u03b b.b.;urb
junaku junk;junkie
'tense' dense;tensed
farelly frilly;ferally
jbd jed;jibs
goldson golden;holds in
xander's senders;andes
danes' dance;dances
personified exemplify;incarnate
commentated comment;expound
calcutta calculi;clutter
belair belie;bellier
hourslong headlong;so long
brimming filled;full
zbz zzz;bzs
godrã¨che trachea;gat rich
ofteringer's orderings;alterings
sonora snore;signora
millionares millineries;millions
chimpmunks 
batperson boat persons;madperson
pillars pedestal;shaft
bushi bushy;busher
morita' mortar;myriad
hummmm hummums;humorsome
élans animation;ardor
oley obey;oily
hilaraious hilariously;glorious
boisrond's boss around;surrounds
indys' induce;in dues
occultic occulting;occults
justdumber caused to be;most dumbo
intricacies complexity;difficulty
detaches dissociate;disassemble
poplars peoples;popular
mov mob;mo
pistoleers pustules;epistlers
kuzui cuz;kazoo
'once' ounce;ones
garofolo gat floor;careful
maru' mr.;maria
crisis' crasis;crises
lopez loupes;loped
joni jinni;john
converting reorganize;modify
couldn'tact cleaned act;got in to act
neglectful delinquent;derelict
'32 .25;180
masu mass;mask
shatta chatty;shoat
ribaldry indecency;impropriety
hhaha ha ha;ha-ha
gizmos contraption;widget
offcuts effects;offcourse
gearing organize;fit
2346 10 4;10-4
ponce's nonces;pinnaces
hearth fireplace;grate
synthesiser synthesize;synthesized
'have heave;hive
janetty jetty;canter
barnaby barb;barn
schumacher`s schema chart;scammers
grumpiness jumpiness;grimness
haneke's hanks;hangers
tensas tends;tensed
prohibited restricted;banned
arquette's parquets;baguettes
hallbless halberds;haulable
amplify magnify;augment
'slow sloe;slew
kilers keelers;oilers
hymilayan humiliating;humiliation
appears materialize;emerge
caetano's caftans;cartings
unmatchable transcendent;inimitable
'wish whish;wash
groupies devotee;buff
sublimating uphold;cleanse
picturemaking 
fanatasy phantasy;antsy
tensile soft;malleable
atron patron;apron
irrumpan olympian;impugn
koestler's hostlers;costless
'5' .25;180
wincingly wincing;vincinal
overreliance overrulings;over balance
sponsored subsidize;finance
gaby's gabbers;abyss
serpentine meandering;sinuous
tendo tendon;tender
'hell' hello;hall
'somewhere somewheres;elsewhere
tailor dressmaker;outfitter
vazio kazoo;vas
robbi rob;robber
hndchjndnh 
guard's gauds;gourds
envious distrustful;watchful
ilene ulnae;lien
sabrian sabering;brain
macbeth misbirth;make bet
bauerisch brutish;breach
geniality amenity;amiability
linage lunge;linkage
settled established;ended
entendi entente;in tend
overemphatic 
tuney tuner;tourney
pussiest muff;box
olvida livid;ovoid
opposite antithetical;reversed
paradine paradise;parade
netherfield in the field;nether world
difford differed;differs
fanstastic first stage;burns at stake
500 .25;180
rottenest putrid;rotting
profesor pro fessor;pro-fessor
shelter shed;sanctuary
foundation's foundation;fecundations
mindedness pointedness;candidness
howcan gown;can
nien mien;lien
omelettes armlets;emulates
teenagery teenage;ternary
warring belligerent;fighting
zaborav bravo;sabre
concoction brew;mixture
ondatje's in-takes;undertakes
deitz ditzy;deitys
icarus ocrs;acres
dwarfsâ dwarfish;dwarfed
hatstand hadst hand;hadst need
millius' mollusk;miles
inspired influenced;exhilarated
'hippo hip;zippo
kingsley jingle;kindle
theocratic theoretic;socratic
25 quarter;$.25
dementing enrage;bewilder
lookalike impersonator;carbon copy
danno dawn;dingo
dinehart's die-hards;dinettes
qna q a;q&a
silhouettes likeness;shape
'intentional' intentionally;international
pre's pyres;pre ks
reeal reel;repeal
''o 25s;33s
lot piece;area
stowaway stows away;stole away
strangle inhibit;smother
fauntleroy foundry;fondle
frazzled fray;exhaust
langford' long for;long odd
vampress compress;empress
brontean baronet;broaden
pyrrhic prick;parodic
over past;bygone
warlord's warlord;war words
'old' olid;older
hans's hens;huns
suck absorb;inhale
'supremacy' supremely;primacy
zuni ruin;sun
fleetwood fatwood;fleet foot
dantons dindins;donjons
tetchy annoyed;bad-tempered
sammael samely;smail
'murderer' mutterer;murdered
loa loaf;loam
`visual' visuals;vassal
subsequent following;consecutive
tucker drain;sap
logos symbol;tag
gymkata gymsuit;gamut
strangelove' strangely;strangler
mutti mitt;motto
globes planet;world
portrait profile;picture
barn's borns;bens
gewirtz's keywords;kibitzes
fando find;fond
winthrop went through;won the race
forgiventhe forgiveness;forgiving
klinker clunker;blinker
'dutch' ditch;douche
spheeris's spheroids;seeress
gereco grog;rec
comically insanely;extremely
intentionally deliberately;designedly
behaved react;perform
fauna animality;Animalia
jeeves jives;reeves
parada pared;parody
pitzalis petals;portals
pateint patent;potent
lugubriousness laboriousness;lugubriosities
pinku pink;pinko
znyyqhuzzah snugs;zincs
randon rundown;ran on
virgilia vigil;virginal
maudette mutate;made it
nederlands new lands;wonderlands
tramonti tyrant;drum into
contemplative introspective;reflective
stig's stages;stogies
octavia octave;octavos
rips slit;gash
candis candid;condos
entwine entangle;interweave
clampets calmants;clamp
dodoes fool;dumbbell
girlhood boyhood;juvenility
arterton acted on;eton
xixth cigs;sexy
giuseppe guise;guised
